Ticker,"IPO 
Trading 
Date",Lockup 1,Lockup 2,Lockup 3
ALLO,10/11/2018,4/9/2019,,
ESTC,10/5/2018,4/3/2019,,
KOD,10/4/2018,4/2/2019,,
GH,10/4/2018,4/2/2019,,
UPWK,10/3/2018,4/1/2019,,
CTK,9/28/2018,3/27/2019,,
GRTS,9/28/2018,3/27/2019,,
STRO,9/27/2018,3/26/2019,,
LAIX,9/27/2018,3/26/2019,,
RMED,9/27/2018,3/26/2019,,
UROV,9/27/2018,3/26/2019,,
ARVN,9/27/2018,3/26/2019,,
CBNK,9/26/2018,3/25/2019,,
ARCE,9/26/2018,3/25/2019,,
SVMK,9/26/2018,2/13/2019,,
ETTX,9/26/2018,3/25/2019,,
VIOT,9/25/2018,3/24/2019,,
FTCH,9/21/2018,3/20/2019,,
YMAB,9/21/2018,3/20/2019,,
ELAN,9/20/2018,3/19/2019,,
XYF,9/19/2018,3/18/2019,,
BSVN,9/20/2018,3/19/2019,,
EB,9/20/2018,3/19/2019,,
PRNB,9/14/2018,3/13/2019,,
QTT,9/14/2018,3/13/2019,,
YI,9/12/2018,3/11/2019,,
NIO,9/12/2018,3/11/2019,,
BNGOU,8/21/2018,2/17/2019,,
ARDS,8/14/2018,2/10/2019,,
VCNX,8/9/2018,2/5/2019,,
MESA,8/10/2018,2/6/2019,,
AMAL,8/9/2018,,,
ARLO,8/3/2018,1/30/2019, 12/26/2018,
CWK,8/2/2018,1/29/2019,,
SONO,8/2/2018,1/29/2019,,
OPRA,7/27/2018,1/23/2019,,
DAVA,7/27/2018,1/23/2019,,
TENB,7/26/2018,1/22/2019,,
FOCS,7/26/2018,1/22/2019,,
CANG,7/26/2018,1/22/2019,,
PDD,7/26/2018,1/22/2019,,
BRY,7/26/2018,1/22/2019,,
LQDA,7/26/2018,1/22/2019,,
JG,7/26/2018,1/22/2019,,
BE,7/25/2018,1/21/2019,,
AQST,7/25/2018,1/21/2019,,
REPL,7/20/2018,1/16/2019,,
ESTA,7/19/2018,1/15/2019,,
CNST,7/19/2018,1/15/2019,,
MYFW,7/19/2018,1/15/2019,,
ALLK,7/19/2018,1/15/2019,,
TLRY,7/19/2018,1/15/2019,,
CCB,7/18/2018,1/14/2019,,
RUBY,7/18/2018,1/14/2019,,
CRNX,7/18/2018,1/14/2019,,
STIM,6/28/2018,12/25/2018,,
DOMO,6/29/2018,12/26/2018,,
BJ,6/28/2018,12/25/2018,,
EVER,6/28/2018,12/25/2018,,
TBIO,6/28/2018,12/25/2018,,
TCDA,6/28/2018,12/25/2018,,
UXIN,6/27/2018,12/24/2018,,
FTSV,6/28/2018,12/25/2018,,
BV,6/28/2018,12/25/2018,,
NTGN,6/27/2018,12/24/2018,,
LOVE,6/27/2018,12/24/2018,,
ECOR,6/22/2018,12/19/2018,,
AUTL,6/22/2018,12/19/2018,,
EPRT,6/21/2018,6/21/2019, 12/18/2018,
APTX,6/21/2018,12/18/2018,,
MGTA,6/21/2018,12/18/2018,,
AVRO,6/21/2018,12/18/2018,,
KZR,6/21/2018,12/18/2018,,
XERS,6/21/2018,12/18/2018,,
IIIV,6/21/2018,12/18/2018,,
EIDX,6/20/2018,12/17/2018,,
VRCA,6/15/2018,12/12/2018,,
NEW,6/15/2018,12/12/2018,,
AVLR,6/15/2018,12/12/2018,,
CHRA,6/14/2018,12/11/2018,,
USX,6/14/2018,12/11/2018,,
MGTX,6/8/2018,12/5/2018,,
ITRM,5/25/2018,11/21/2018,,
GSKY,5/24/2018,11/20/2018,,
SRRK,5/24/2018,11/20/2018,,
KNSA,5/24/2018,11/20/2018,,
EVOP,5/23/2018,11/19/2018,,
PS,5/17/2018,11/13/2018,,
HUYA,5/11/2018,11/7/2018,,
EQH,5/10/2018,11/6/2018,,
OBNK,5/9/2018,11/5/2018,,
EVLO,5/9/2018,11/5/2018,,
BCML,5/4/2018,10/31/2018,,
ROAD,5/4/2018,10/31/2018,,
STXB,5/4/2018,10/31/2018,,
CBLK,5/4/2018,10/31/2018,,
UBX,5/3/2018,10/30/2018,,
INSP,5/3/2018,10/30/2018,,
PRT,5/2/2018,10/29/2018,,
GSHD,4/27/2018,10/24/2018,,
DOCU,4/27/2018,10/24/2018,,
SMAR,4/27/2018,10/24/2018,,
LASR,4/26/2018,10/23/2018,,
CDAY,4/26/2018,10/23/2018,,
PVTL,4/20/2018,10/17/2018,,
LEVL,4/20/2018,10/17/2018,,
SURF,4/19/2018,10/16/2018,,
EAF,4/19/2018,10/16/2018,,
ZUO,4/12/2018,10/9/2018,,
IQ,3/29/2018,9/25/2018,,
BILI,3/28/2018,9/24/2018,,
UMRX,3/29/2018,9/25/2018,,
GHG,3/27/2018,9/23/2018,,
FIXX,3/28/2018,9/24/2018,,
ONE,3/28/2018,9/24/2018,,
STG,3/23/2018,9/19/2018,,
DBX,3/23/2018,8/24/2018,,
ZS,3/16/2018,9/12/2018,,
RCUS,3/15/2018,9/11/2018,,
BWB,3/14/2018,9/10/2018,,
BTAI,3/8/2018,9/4/2018,,
QES,2/9/2018,8/8/2018,,
CDLX,2/9/2018,8/8/2018,,
VCTR,2/8/2018,8/7/2018,,
EOLS,2/8/2018,8/7/2018,,
WHD,2/8/2018,8/7/2018,,
HMI,2/8/2018,8/7/2018,,
CAAP,2/1/2018,7/31/2018,,
FTSI,,1/1/2001,,
HUD,2/1/2018,7/31/2018,,
SLGL,2/1/2018,7/31/2018,,
ARMO,1/26/2018,7/25/2018,,
AGS,1/26/2018,7/25/2018,,
SLDB,1/26/2018,7/25/2018,,
TORC,1/26/2018,7/25/2018,,
GTES,1/25/2018,7/24/2018,,
EYEN,1/25/2018,7/24/2018,,
MNLO,1/25/2018,7/24/2018,,
PAGS,1/24/2018,7/23/2018,,
NINE,1/19/2018,7/18/2018,,
ADT,1/19/2018,7/18/2018,,
COLD,12/1/2010,5/30/2011,,
ILPT,1/12/2018,7/11/2018,,
LBRT,1/12/2018,7/11/2018,,
ICLK,12/22/2017,6/20/2018,,
LX,12/21/2017,6/19/2018,,
NMRK,12/15/2017,6/13/2018,,
CASA,12/15/2017,6/13/2018,,
LBC,12/8/2017,6/6/2018,,
DNLI,12/8/2017,6/6/2018,,
QTRX,12/7/2017,6/5/2018,,
ODT,12/7/2017,6/5/2018,,
CURO,12/7/2017,6/5/2018,,
SCPH,11/17/2017,5/16/2018,,
BXG,11/17/2017,5/16/2018,,
SFIX,11/17/2017,5/16/2018,  3/14/2018,
SBT,11/17/2017,5/16/2018,,
SAIL,11/17/2017,5/16/2018,,
ASNS,,,,
JT,11/16/2017,5/15/2018,,
SEND,11/15/2017,5/14/2018,,
